total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time
5400,22,22,12,4,2,4,523.4896790710293
4700,20,20,9,7,3,1,494.6363376796456
6000,23,23,12,5,1,5,503.83150269920577
8850,23,23,7,6,3,7,483.7233231439135
6150,24,24,13,4,2,5,480.8335622808559
6600,25,25,12,6,3,4,541.7149086360622
5350,22,22,11,6,2,3,483.97115922325327
8850,23,23,7,6,3,7,489.6171448055926
5350,22,22,11,6,2,3,518.2744329118232
6550,22,22,8,8,3,3,518.5057949607693
6050,20,20,7,8,2,3,478.67898214584415
4950,23,23,15,2,1,5,486.47279131010106
5600,24,24,13,6,1,4,499.62481682591135
7350,22,22,8,6,3,5,501.48727503626685
6400,23,23,11,4,4,4,537.1199894145651
6050,22,22,9,8,2,3,519.9654592823947
5000,23,23,13,5,2,3,485.6250260356667
7700,22,22,7,7,3,5,516.312570566533
6350,22,22,10,6,1,5,509.5824951398179
6000,24,24,13,5,1,5,486.7060067297458
7050,22,22,7,8,4,3,488.48833322058766
6550,23,23,12,3,2,6,478.8160112965377
8900,22,22,5,9,1,7,507.5788485260695
7500,22,22,8,5,4,5,475.3632419238277
6800,21,21,7,8,2,4,472.91526215723167
7400,23,23,10,4,3,6,484.1933405446772
7650,23,23,8,9,0,6,485.64392195801065
8450,22,22,6,7,3,6,503.58796592160496
7550,23,23,11,3,1,8,474.08101604878277
10150,23,23,7,4,1,11,470.74474470304733
6300,22,22,9,8,1,4,489.0309275425048
7500,24,24,11,5,1,7,494.65243413048836
5650,23,23,12,4,4,3,499.3961218369186
9050,25,25,8,8,2,7,489.7248657111974
7100,22,22,9,6,1,6,470.309489869518
7700,23,23,8,7,3,5,499.35205550786696
8550,22,22,6,8,1,7,473.83104649022056
6050,23,23,10,8,2,3,480.7729402348287
5800,22,22,11,3,5,3,481.61777324680156
6050,24,24,10,8,5,1,483.8105947417944
4500,22,22,12,5,4,1,487.03741043655685
6550,21,21,10,3,2,6,465.9664332215244
8150,22,22,9,4,0,9,486.62010702800023
5900,22,22,9,9,1,3,492.2974375292961
4100,20,20,11,6,1,2,467.35814611786026
7900,23,23,10,4,1,8,473.7925127766549
7150,22,22,10,4,1,7,465.5327110664224
7550,21,21,5,8,5,3,489.584010393674
4750,22,22,13,5,0,4,500.32332680569476
9850,24,24,7,6,2,9,490.3148202625753
7500,23,23,10,5,1,7,517.5861648883582
6850,24,24,11,6,2,5,489.6108164019276
7650,23,23,10,4,2,7,477.52103202538757
5150,20,20,10,4,3,3,514.6944885047034
6650,23,23,11,4,3,5,482.35131747735164
3700,21,21,12,7,1,1,477.0750890023411
5950,23,23,14,2,0,7,497.0664129123377
9400,23,23,7,4,4,8,477.8417319368276
6400,22,22,11,4,1,6,474.28623154438003
7350,21,21,7,6,3,5,474.96784248346455
8200,24,24,11,2,3,8,496.3925128267781
6050,23,23,10,8,2,3,497.74733781505745
6700,22,22,8,7,4,3,467.9367150604872
4500,23,23,14,5,1,3,502.1617125768174
7500,24,24,11,5,1,7,553.8716385454497
6150,22,22,11,4,2,5,478.61594569409056
4950,20,20,12,2,1,5,472.4428395745719
6450,23,23,12,2,4,5,473.28485396653616
8950,23,23,5,7,7,4,478.4202101356721
8750,23,23,6,10,0,7,476.33389311011706
5850,20,20,8,6,3,3,498.325356487802
6050,22,22,9,8,2,3,508.44254662908486
3600,22,22,14,6,0,2,478.60546413352813
5050,22,22,11,8,0,3,528.3108239806949
5150,21,21,9,9,1,2,534.0984450233022
6000,22,22,8,10,2,2,531.4183467188399
7250,22,22,9,5,2,6,482.60394163494107
5200,21,21,10,7,1,3,463.33803136655627
8200,23,23,8,7,1,7,487.36569198920046
9550,25,25,7,8,3,7,479.5548652731824
7650,23,23,7,9,3,4,522.0200070898352
5900,24,24,13,4,3,4,473.9234930261027
7250,22,22,9,5,2,6,494.14726111813104
7850,24,24,9,6,4,5,471.75103065008625
4200,21,21,14,2,1,4,525.2750939761918
5900,21,21,10,4,3,4,481.9208044625919
4950,22,22,13,2,4,3,499.9771057864416
5100,23,23,13,6,0,4,552.0643069830573
5650,23,23,13,4,1,5,513.7508571602797
5200,23,23,12,7,1,3,485.4256055873061
7100,23,23,10,6,1,6,498.4729577293723
7900,21,21,7,4,4,6,479.82349761092956
6550,22,22,9,8,0,5,512.4697001822368
4200,20,20,13,2,1,4,490.57194165227395
9300,22,22,5,8,1,8,490.0656839118678
5500,22,22,14,0,2,6,486.8012527388434
4600,24,24,14,6,2,2,486.6977086012903
5600,23,23,12,6,1,4,504.9711997742954
3700,22,22,13,7,1,1,535.1870048553787
9850,23,23,6,6,2,9,478.52283422866117
8500,22,22,5,10,1,6,495.38315660692786
4100,23,23,14,6,1,2,505.84376960154793
6250,23,23,11,5,3,4,487.82461910309695
7950,23,23,8,7,2,6,484.486644093727
3900,24,24,16,4,2,2,544.9690327511032
6750,22,22,9,5,4,4,536.7743307425882
6500,21,21,9,5,2,5,481.50990116673967
5750,21,21,10,5,2,4,472.26698267850793
7850,23,23,6,11,2,4,491.35466262385717
5200,23,23,14,2,3,4,490.5521738145698
5800,20,20,10,3,2,5,492.3216178682631
3550,21,21,13,3,5,0,493.4443884369757
7400,22,22,7,9,1,5,487.42117068852616
9700,21,21,4,7,1,9,525.4402604327142
7400,22,22,7,9,1,5,492.88828825780985
5200,21,21,10,7,1,3,456.2818664894478
7750,22,22,6,10,1,5,478.2196308469212
7900,23,23,9,4,4,6,539.7462224621675
5000,21,21,11,5,2,3,495.59757609812266
3100,22,22,16,1,4,1,541.1620207051553
4150,23,23,15,4,1,3,497.2533597687762
5950,24,24,11,7,4,2,506.00975232116025
5700,22,22,10,7,2,3,478.6844644724009
7200,23,23,9,7,2,5,549.6072551706386
5900,22,22,10,4,6,2,489.8258913960945
6650,21,21,10,4,0,7,465.1191103292034
4900,22,22,12,4,4,2,476.4094113998262
4650,21,21,12,4,2,3,484.7038959875795
6650,22,22,10,4,3,5,470.6719372620739
5650,22,22,12,4,1,5,457.0164752738217
6300,21,21,8,8,1,4,508.39252042573065
8600,23,23,7,6,4,6,509.8676123869065
6000,22,22,10,5,4,3,498.76036624260024
5450,23,23,11,7,3,2,481.24964277024293
7400,21,21,7,4,6,4,482.3092497652018
6650,22,22,9,4,6,3,494.8565240551129
5950,23,23,11,7,1,4,466.0608910027671
7550,22,22,7,8,2,5,468.3370460206067
6450,23,23,10,7,2,4,468.64667761525817
4900,21,21,12,4,1,4,687.4875250550517
6550,22,22,8,8,3,3,472.5115794579024
6800,23,23,11,3,4,5,484.29014088816217
8400,24,24,10,4,2,8,476.8241574491281
6450,23,23,10,7,2,4,507.8152002998819
5650,21,21,8,9,2,2,487.43754490421577
7900,23,23,10,4,1,8,475.9537267703794
6250,22,22,10,5,3,4,485.25039875470014
8850,22,22,6,6,3,7,462.4834793536107
5600,22,22,11,6,1,4,507.15082506939484
8850,21,21,5,6,3,7,481.93131532851294
5700,22,22,10,7,2,3,521.1361697633902
5900,24,24,11,9,1,3,511.0534087790227
5700,22,22,8,12,0,2,480.87895392765785
5800,23,23,10,8,3,2,489.17399565183405
4750,21,21,11,5,3,2,505.3288576580905
6600,22,22,9,6,3,4,508.78646364505585
6000,23,23,12,5,1,5,483.79773669393967
5600,24,24,13,6,1,4,490.36445266876325
7350,24,24,12,1,5,6,488.9963388167393
6550,22,22,11,3,2,6,478.0916345155108
8200,24,24,8,7,4,5,502.627876063146
6900,21,21,9,4,2,6,509.9042464820774
8700,21,21,5,7,2,7,475.03989545093873
6550,24,24,10,8,3,3,495.1899539306681
5500,24,24,13,5,3,3,490.37246768756086
8750,24,24,9,5,2,8,544.6478786423244
6450,22,22,9,7,2,4,481.1107409462419
5300,23,23,14,3,1,5,495.255208628009
5000,22,22,12,5,2,3,477.3552014060939
6250,22,22,8,10,1,3,487.125041465145
6650,22,22,9,4,6,3,479.65126147557925
6950,23,23,9,7,3,4,550.1924289434625
6700,23,23,12,2,3,6,488.56901619309184
4100,21,21,12,6,1,2,479.64816621494504
4100,21,21,12,6,1,2,541.7766856421939
10450,25,25,8,2,6,9,477.9283213794188
6500,22,22,10,5,2,5,468.07605415215096
5100,22,22,11,6,3,2,498.90700275996363
5350,24,24,11,11,0,2,468.34170601852816
6000,22,22,11,5,1,5,492.89537997795986
5800,22,22,9,8,3,2,497.5814181635564
6400,22,22,8,9,2,3,480.8667308831021
6650,24,24,12,4,3,5,481.9406833574467
5250,22,22,12,5,1,4,532.4067009389805
4650,21,21,12,4,2,3,466.519903953517
5100,23,23,15,1,2,5,479.7422852965015
8350,20,20,4,6,5,5,484.5545592668964
5150,22,22,13,4,0,5,484.6826752089899
7750,23,23,9,5,3,6,482.87393829357063
6200,23,23,10,7,3,3,491.4747997271882
5150,21,21,11,4,3,3,473.0491332026174
4150,23,23,15,4,1,3,532.5847025250916
4500,22,22,13,5,1,3,486.549540185116
7650,22,22,9,4,2,7,495.2515196486659
6300,24,24,11,8,1,4,476.03207797566836
4000,22,22,14,5,0,3,537.9428867140465
8150,22,22,8,4,3,7,478.3341827539405
6900,23,23,10,4,5,4,492.44116546633495
5050,22,22,11,8,0,3,513.3257593338573
4400,23,23,14,4,3,2,502.21831831471115
6100,22,22,13,1,1,7,472.1153155252543
5050,22,22,13,3,2,4,479.9315110509804
8100,21,21,6,6,3,6,476.99249545236256
7150,21,21,8,4,4,5,474.70165852416613
6900,23,23,8,9,3,3,491.6133720503015
4850,24,24,14,6,1,3,471.44234188093475
4900,22,22,13,4,1,4,497.20842590663807
